                        totalE                        totalK                        totalp                             k0                             p0                             k1                             p1                             k2                             p2                             k3                             p3                             k4                             p4
                  -1.800381286              1.277778595e-008                  -1.800381299              2.852649534e-009                 -0.2627584628              2.328680102e-009                 -0.2591007543              2.411458184e-009                 -0.2291537928              2.337802585e-009                 -0.2349060377              2.847195544e-009                 -0.2143351516
                  -1.800380434              8.646301826e-007                  -1.800381299              1.930292851e-007                 -0.2627584628              1.575740203e-007                 -0.2591007543              1.631753371e-007                 -0.2291537928              1.581913083e-007                 -0.2349060377              1.926602318e-007                 -0.2143351516
                  -1.800379583              1.716482579e-006                  -1.800381299              3.832059207e-007                 -0.2627584628              3.128193604e-007                 -0.2591007543               3.23939216e-007                 -0.2291537928               3.14044814e-007                 -0.2349060377              3.824732681e-007                 -0.2143351516
                  -1.800378731              2.568334976e-006                  -1.800381299              5.733825563e-007                 -0.2627584628              4.680647006e-007                 -0.2591007543              4.847030949e-007                 -0.2291537928              4.698983196e-007                 -0.2349060377              5.722863044e-007                 -0.2143351516
                  -1.800377879              3.420187373e-006                  -1.800381299              7.635591919e-007                 -0.2627584628              6.233100407e-007                 -0.2591007543              6.454669739e-007                 -0.2291537928              6.257518253e-007                 -0.2349060377              7.620993407e-007                 -0.2143351516
                  -1.800377027              4.272039769e-006                  -1.800381299              9.537358275e-007                 -0.2627584628              7.785553809e-007                 -0.2591007543              8.062308528e-007                 -0.2291537928               7.81605331e-007                 -0.2349060377               9.51912377e-007                 -0.2143351516
                  -1.800376175              5.123892166e-006                  -1.800381299              1.143912463e-006                 -0.2627584628              9.338007211e-007                 -0.2591007543              9.669947317e-007                 -0.2291537928              9.374588367e-007                 -0.2349060377              1.141725413e-006                 -0.2143351516
                  -1.800375323              5.975744563e-006                  -1.800381299              1.334089099e-006                 -0.2627584628              1.089046061e-006                 -0.2591007543              1.127758611e-006                 -0.2291537928              1.093312342e-006                 -0.2349060377               1.33153845e-006                 -0.2143351516
                  -1.800374471              6.827596959e-006                  -1.800381299              1.524265734e-006                 -0.2627584628              1.244291401e-006                 -0.2591007543               1.28852249e-006                 -0.2291537928              1.249165848e-006                 -0.2349060377              1.521351486e-006                 -0.2143351516
                   -1.80037362              7.679449356e-006                  -1.800381299               1.71444237e-006                 -0.2627584628              1.399536742e-006                 -0.2591007543              1.449286368e-006                 -0.2291537928              1.405019354e-006                 -0.2349060377              1.711164522e-006                 -0.2143351516
