                        totalE                        totalK                        totalp                             k0                             p0                             k1                             p1                             k2                             p2                             k3                             p3                             k4                             p4
                  -1.800372768              8.531301753e-006                  -1.800381299              1.904619006e-006                 -0.2627584628              1.554782082e-006                 -0.2591007543              1.610050247e-006                 -0.2291537928              1.560872859e-006                 -0.2349060377              1.900977558e-006                 -0.2143351516
                  -1.800371916              9.383154149e-006                  -1.800381299              2.094795641e-006                 -0.2627584628              1.710027422e-006                 -0.2591007543              1.770814126e-006                 -0.2291537928              1.716726365e-006                 -0.2349060377              2.090790595e-006                 -0.2143351516
                  -1.800371064              1.023500655e-005                  -1.800381299              2.284972277e-006                 -0.2627584628              1.865272762e-006                 -0.2591007543              1.931578005e-006                 -0.2291537928              1.872579871e-006                 -0.2349060377              2.280603631e-006                 -0.2143351516
                  -1.800370212              1.108685894e-005                  -1.800381299              2.475148912e-006                 -0.2627584628              2.020518102e-006                 -0.2591007543              2.092341884e-006                 -0.2291537928              2.028433376e-006                 -0.2349060377              2.470416667e-006                 -0.2143351516
                   -1.80036936              1.193871134e-005                  -1.800381299              2.665325548e-006                 -0.2627584628              2.175763442e-006                 -0.2591007543              2.253105763e-006                 -0.2291537928              2.184286882e-006                 -0.2349060377              2.660229704e-006                 -0.2143351516
                  -1.800368508              1.279056374e-005                  -1.800381299              2.855502184e-006                 -0.2627584628              2.331008783e-006                 -0.2591007543              2.413869642e-006                 -0.2291537928              2.340140388e-006                 -0.2349060377               2.85004274e-006                 -0.2143351516
                  -1.800367657              1.364241613e-005                  -1.800381299              3.045678819e-006                 -0.2627584628              2.486254123e-006                 -0.2591007544              2.574633521e-006                 -0.2291537928              2.495993894e-006                 -0.2349060377              3.039855776e-006                 -0.2143351516
                  -1.800366805              1.449426853e-005                  -1.800381299              3.235855455e-006                 -0.2627584628              2.641499463e-006                 -0.2591007544                2.7353974e-006                 -0.2291537928              2.651847399e-006                 -0.2349060377              3.229668813e-006                 -0.2143351516
                  -1.800365953              1.534612093e-005                  -1.800381299               3.42603209e-006                 -0.2627584628              2.796744803e-006                 -0.2591007544              2.896161279e-006                 -0.2291537928              2.807700905e-006                 -0.2349060377              3.419481849e-006                 -0.2143351516
                  -1.800365101              1.619797332e-005                  -1.800381299              3.616208726e-006                 -0.2627584628              2.951990143e-006                 -0.2591007544              3.056925158e-006                 -0.2291537928              2.963554411e-006                 -0.2349060377              3.609294885e-006                 -0.2143351516
